Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight
1.0,16.0,16.0,13.0,17.0,13.0,19.0,16.0,17.0,18.0,18.0,37.0,34
2.0,24.0,24.0,21.0,15.0,12.0,16.0,17.0,24.0,21.0,19.0,34.0,38
1.0,15.0,19.0,15.0,15.2,21.0,13.0,15.0,17.0,20.0,21.0,37.0,51
1.0,21.4,18.0,13.0,15.0,12.0,15.0,15.0,16.0,19.0,13.0,26.0,43
1.0,21.0,22.0,16.0,16.0,21.0,20.0,11.0,14.0,20.0,21.0,30.0,50
1.0,38.0,20.0,17.0,21.0,14.0,13.0,16.0,22.0,27.0,21.0,41.0,47
1.0,49.0,23.0,16.0,14.0,11.0,14.0,14.0,20.0,22.0,23.0,33.0,52
2.0,22.0,24.0,18.0,21.0,19.0,21.0,23.0,23.0,27.0,21.0,28.0,59
1.0,21.4,15.0,15.0,15.2,21.0,20.0,10.0,10.0,11.0,17.3,17.0,23
1.0,12.0,19.0,16.0,15.0,13.0,20.0,16.0,24.0,39.0,21.0,42.0,62
2.0,18.0,22.0,18.0,18.0,15.0,17.0,20.0,21.0,26.0,22.0,19.0,38
1.0,37.0,25.0,19.0,17.0,22.0,17.0,22.0,19.0,27.0,20.0,27.0,47
1.0,21.0,17.0,14.0,17.0,15.0,19.0,16.0,22.0,25.0,21.0,41.0,50
1.0,16.0,23.0,15.0,13.0,10.0,13.0,13.0,20.0,22.0,16.0,30.0,56
1.0,19.0,20.0,18.0,11.0,21.0,20.0,14.0,21.0,18.1,19.0,41.0,55
2.0,32.0,16.0,15.0,15.2,21.0,20.0,19.7,10.0,24.0,17.3,18.0,24
2.0,21.4,21.0,19.0,10.0,10.0,22.0,10.0,23.0,24.0,19.0,37.0,60
1.0,42.0,24.0,15.0,13.0,21.0,10.0,16.0,21.0,10.0,20.0,36.0,61
1.0,21.4,15.0,15.0,11.0,21.0,20.0,15.0,19.3,22.0,17.3,16.0,24
1.0,50.0,20.0,18.0,15.2,21.0,10.0,23.0,19.0,20.0,24.0,34.0,38
1.0,37.0,21.0,19.0,12.0,16.0,18.0,14.0,26.0,23.0,26.0,29.0,37
1.0,20.0,24.0,13.0,18.0,21.0,21.0,24.0,25.0,19.0,19.0,49.0,75
2.0,21.4,17.0,11.0,15.0,12.0,13.0,16.0,15.0,22.0,13.0,26.0,40
1.0,17.0,19.0,10.0,15.0,13.0,15.0,17.0,21.0,22.0,19.0,33.0,47
1.0,24.0,20.0,18.0,12.0,11.0,22.0,13.0,22.0,25.0,20.0,40.0,57
1.0,21.4,16.0,15.0,15.2,21.0,20.0,19.7,19.3,10.0,17.3,18.0,23
1.0,34.0,20.0,18.0,10.0,21.0,21.0,10.0,24.0,22.0,19.0,38.0,59
2.0,24.0,22.0,16.0,12.0,10.0,11.0,14.0,23.0,25.0,19.0,38.0,60
1.0,21.0,18.0,14.0,15.2,21.0,10.0,11.0,20.0,23.0,15.0,30.0,53
1.0,21.4,20.0,18.0,12.0,11.0,13.0,11.0,22.0,25.0,20.0,40.0,61
1.0,31.0,16.0,14.0,12.0,10.0,13.0,19.0,15.0,20.0,11.0,22.0,33
1.0,21.4,20.0,16.0,12.0,10.0,14.0,14.0,20.0,25.0,18.0,32.0,51
1.0,21.4,26.0,19.0,14.0,12.0,23.0,16.0,24.0,28.0,23.0,46.0,73
1.0,54.0,20.0,17.0,14.0,13.0,14.0,15.0,22.0,26.0,21.0,42.0,62
1.0,19.0,20.0,16.0,15.2,21.0,14.0,16.0,18.0,21.0,22.0,38.0,52
2.0,15.0,23.0,16.0,14.0,11.0,14.0,14.0,21.0,23.0,17.0,33.0,56
1.0,24.0,22.0,17.0,12.0,13.0,22.0,12.0,23.0,27.0,20.0,46.0,62
1.0,32.0,20.0,17.0,18.0,21.0,16.0,19.7,23.0,13.0,20.0,30.0,40
1.0,16.0,16.0,15.0,12.0,21.0,20.0,10.0,11.0,11.0,17.3,17.0,23
2.0,21.4,20.0,19.0,13.0,12.0,16.0,17.0,19.3,27.0,19.0,39.0,43
1.0,28.0,22.0,19.0,20.0,18.0,20.0,23.0,24.0,27.0,19.0,39.0,38
1.0,22.0,20.0,13.0,10.0,21.0,10.0,12.0,23.0,19.0,20.0,34.0,75
1.0,21.4,23.0,20.0,16.0,15.0,14.0,16.0,13.0,27.0,23.0,45.0,53
1.0,36.0,23.0,16.0,11.0,10.0,14.0,14.0,25.0,25.0,20.0,39.0,53
2.0,21.0,23.0,16.0,21.0,14.0,20.0,17.0,22.0,22.0,21.0,30.0,43
1.0,32.0,17.0,14.0,18.0,14.0,20.0,17.0,20.0,19.0,19.0,39.0,34
1.0,16.0,21.0,18.0,18.0,14.0,18.0,19.0,18.0,26.0,22.0,40.0,46
1.0,17.0,19.0,12.0,17.0,13.0,16.0,18.0,23.0,23.0,20.0,38.0,42
1.0,18.0,23.0,20.0,14.0,13.0,17.0,16.0,20.0,28.0,20.0,40.0,48
1.0,24.0,22.0,17.0,22.0,13.0,22.0,19.0,23.0,20.0,20.0,27.0,47
1.0,32.0,25.0,19.0,23.0,18.0,23.0,20.0,22.0,23.0,23.0,29.0,56
1.0,42.0,24.0,18.0,21.0,20.0,22.0,24.0,26.0,28.0,18.0,38.0,59
1.0,21.4,18.0,12.0,14.0,13.0,14.0,15.0,16.0,18.0,14.0,25.0,42
1.0,20.0,18.0,19.0,16.0,12.0,15.0,16.0,15.0,18.0,25.0,38.0,59
1.0,21.0,16.0,22.0,20.0,23.0,14.0,19.0,16.0,17.0,26.0,29.0,62
1.0,17.0,17.0,17.0,21.0,15.0,13.0,11.0,14.0,18.0,27.0,34.0,41
1.0,16.0,22.0,16.0,10.0,17.0,10.0,13.0,22.0,17.0,21.0,34.0,57
2.0,24.0,21.0,14.0,15.2,10.0,17.0,20.0,16.0,18.0,20.0,37.0,49
